TeD,TrD1,TrD2,TrD3,TrD4,TrD5,TrD6,TrD7,TrD8,model,score,Sum
TeD1,0,0,0,0,0,0,0,0,B1,0.693203252175511,0
TeD2,0,0,0,0,0,0,0,0,B1,0.580722891566265,0
TeD3,0,0,0,0,0,0,0,0,B1,0.677170418006431,0
TeD4,0,0,0,0,0,0,0,0,B1,0.56643495531281,0
TeD5,0,0,0,0,0,0,0,0,B1,0.0372899407350441,0
TeD6,0,0,0,0,0,0,0,0,B1,0.401104963936232,0
TeD7,0,0,0,0,0,0,0,0,B1,0.214224938821543,0
TeD1,0,0,0,0,0,0,0,0,B2,0.519693280622921,0
TeD2,0,0,0,0,0,0,0,0,B2,0.522347454333463,0
TeD3,0,0,0,0,0,0,0,0,B2,0.562700964630225,0
TeD4,0,0,0,0,0,0,0,0,B2,0.546573982125124,0
TeD5,0,0,0,0,0,0,0,0,B2,0.026207214750538,0
TeD6,0,0,0,0,0,0,0,0,B2,0.117423542595447,0
TeD7,0,0,0,0,0,0,0,0,B2,1e-06,0
TeD1,1,1,0,0,0,1,0,0,M3,0.89467210348712,3
TeD1,1,1,1,0,1,1,1,0,M3,0.896449992663602,6
TeD1,0,1,1,0,0,0,0,0,M3,0.884363874283617,2
TeD1,0,0,1,0,0,0,0,1,M3,0.708820731752362,2
TeD1,0,1,0,1,1,1,1,1,M3,0.897306438585859,6
TeD1,1,0,1,0,0,1,0,0,M3,0.678966277971727,3
TeD1,1,0,1,1,1,1,0,1,M3,0.740042339953815,6
TeD1,1,1,1,0,1,1,0,1,M3,0.899111724644083,6
TeD1,0,0,0,0,0,1,1,0,M3,0.708862163859129,2
TeD1,1,0,0,0,0,1,0,0,M3,0.67041023905311,2
TeD1,0,1,0,0,1,0,1,0,M3,0.899697402564683,3
TeD1,1,0,1,1,1,1,1,1,M3,0.755398119701521,7
TeD1,1,1,0,0,0,0,0,0,M3,0.887292234573549,2
TeD1,0,1,1,0,1,1,0,0,M3,0.894968808498265,4
TeD1,0,0,0,0,0,1,0,1,M3,0.725393047907848,2
TeD1,0,1,0,0,0,1,0,1,M3,0.893741223591915,3
TeD1,0,0,1,1,1,1,1,1,M3,0.75159288833092,6
TeD1,0,0,0,0,1,1,0,0,M3,0.717442888719804,2
TeD1,0,1,0,0,0,0,0,1,M3,0.900250217641651,2
TeD1,0,1,0,0,1,1,1,0,M3,0.894658251818831,4
TeD1,0,1,0,0,0,1,0,0,M3,0.892578620118919,2
TeD1,0,1,0,1,0,1,0,1,M3,0.898502818847017,4
TeD1,1,1,0,0,1,0,0,0,M3,0.900579740284743,3
TeD1,0,1,0,0,1,1,0,1,M3,0.899387790046179,4
TeD1,0,0,1,0,0,1,0,1,M3,0.732990028126728,3
TeD1,0,1,0,1,0,1,0,0,M3,0.899972447474431,3
TeD1,1,1,1,1,1,0,1,0,M3,0.896769363950705,6
TeD1,0,1,1,0,0,0,1,0,M3,0.896742298094388,3
TeD1,1,1,0,1,1,0,1,1,M3,0.895256169324296,6
TeD1,0,1,1,0,0,1,1,0,M3,0.895551062345,4
TeD1,1,1,1,1,1,0,1,1,M3,0.903823971456494,7
TeD1,1,1,1,0,0,1,1,1,M3,0.899116246670878,6
TeD1,1,0,1,0,0,0,0,0,M3,0.642451843208184,2
TeD1,1,0,1,1,1,0,0,0,M3,0.717720705453705,4
TeD1,0,1,0,0,0,0,1,0,M3,0.894401519719698,2
