"","subject","session","score"
"1",1,1,3
"2",1,2,6
"3",1,3,6
"4",1,4,7
"5",1,5,9
"6",1,6,11
"7",1,7,7
"8",1,8,11
"9",1,9,13
"10",1,10,12
"11",1,11,16
"12",1,12,15
"13",1,13,16
"14",1,14,17
"15",2,1,14
"16",2,2,16
"17",2,3,17
"18",2,4,19
"19",2,5,19
"20",2,6,20
"21",2,7,21
"22",2,8,23
"23",2,9,23
"24",2,10,24
"25",3,1,16
"26",3,2,17
"27",3,3,21
"28",3,4,20
"29",3,5,22
"30",3,6,21
"31",3,7,22
"32",3,8,23
"33",3,9,25
"34",3,10,28
"35",3,11,28
"36",3,12,27
"37",3,13,29
"38",4,1,18
"39",4,2,20
"40",4,3,22
"41",4,4,23
"42",4,5,23
"43",4,6,25
"44",4,7,27
"45",4,8,27
"46",4,9,28
"47",4,10,28
"48",4,11,30
"49",4,12,31
"50",4,13,33
"51",5,1,15
"52",5,2,17
"53",5,3,17
"54",5,4,16
"55",5,5,20
"56",5,6,20
"57",5,7,20
"58",5,8,21
"59",5,9,23
"60",5,10,23
"61",5,11,26
"62",5,12,28
"63",5,13,27
"64",5,14,27
"65",5,15,27
"66",5,16,30
"67",6,1,5
"68",6,2,6
"69",6,3,8
"70",6,4,7
"71",6,5,10
"72",6,6,11
"73",6,7,10
"74",6,8,12
"75",6,9,14
"76",6,10,13
"77",6,11,13
"78",6,12,15
"79",6,13,18
"80",6,14,17
"81",7,1,12
"82",7,2,14
"83",7,3,17
"84",7,4,16
"85",7,5,16
"86",7,6,17
"87",7,7,20
"88",7,8,19
"89",7,9,19
"90",7,10,21
"91",7,11,22
"92",7,12,25
"93",8,1,18
"94",8,2,22
"95",8,3,21
"96",8,4,21
"97",8,5,22
"98",8,6,23
"99",8,7,23
"100",8,8,23
"101",8,9,25
"102",9,1,13
"103",9,2,14
"104",9,3,14
"105",9,4,15
"106",9,5,16
"107",9,6,16
"108",9,7,18
"109",9,8,20
"110",9,9,21
"111",10,1,20
"112",10,2,23
"113",10,3,24
"114",10,4,26
"115",10,5,28
"116",10,6,26
"117",10,7,29
"118",10,8,30
"119",10,9,32
"120",10,10,32
"121",10,11,34
"122",10,12,33
"123",11,1,19
"124",11,2,20
"125",11,3,21
"126",11,4,23
"127",11,5,23
"128",11,6,24
"129",11,7,22
"130",11,8,27
"131",11,9,27
"132",11,10,27
"133",11,11,26
"134",11,12,30
"135",11,13,31
"136",11,14,31
"137",11,15,32
"138",11,16,34
"139",12,1,9
"140",12,2,9
"141",12,3,11
"142",12,4,12
"143",12,5,12
"144",12,6,14
"145",12,7,16
"146",12,8,15
"147",12,9,17
"148",12,10,20
"149",12,11,18
"150",12,12,19
"151",12,13,20
"152",12,14,22
"153",12,15,22
"154",12,16,23
"155",12,17,24
"156",13,1,18
"157",13,2,19
"158",13,3,21
"159",13,4,21
"160",13,5,22
"161",13,6,25
"162",13,7,25
"163",13,8,25
"164",13,9,27
"165",13,10,26
"166",13,11,28
"167",13,12,32
"168",13,13,30
"169",14,1,15
"170",14,2,16
"171",14,3,19
"172",14,4,19
"173",14,5,21
"174",14,6,22
"175",14,7,25
"176",14,8,22
"177",14,9,24
"178",15,1,15
"179",15,2,18
"180",15,3,20
"181",15,4,22
"182",15,5,21
"183",15,6,24
"184",15,7,23
"185",15,8,26
"186",15,9,25
"187",15,10,26
"188",16,1,20
"189",16,2,18
"190",16,3,20
"191",16,4,21
"192",16,5,22
"193",16,6,23
"194",16,7,24
"195",16,8,24
"196",16,9,27
"197",16,10,28
"198",16,11,28
"199",16,12,29
"200",16,13,30
"201",17,1,12
"202",17,2,12
"203",17,3,13
"204",17,4,14
"205",17,5,17
"206",17,6,17
"207",17,7,17
"208",17,8,19
"209",17,9,19
"210",17,10,21
"211",17,11,22
"212",18,1,20
"213",18,2,20
"214",18,3,21
"215",18,4,22
"216",18,5,24
"217",18,6,25
"218",18,7,27
"219",18,8,26
"220",18,9,29
"221",18,10,30
"222",18,11,28
"223",18,12,29
"224",19,1,8
"225",19,2,9
"226",19,3,11
"227",19,4,11
"228",19,5,14
"229",19,6,14
"230",19,7,15
"231",19,8,17
"232",19,9,18
"233",19,10,17
"234",19,11,20
"235",19,12,20
"236",19,13,22
"237",19,14,22
"238",19,15,23
"239",20,1,11
"240",20,2,10
"241",20,3,14
"242",20,4,13
"243",20,5,13
"244",20,6,16
"245",20,7,16
"246",20,8,18
"247",20,9,17
"248",20,10,20
"249",20,11,22
"250",20,12,21
"251",20,13,23
"252",20,14,25
"253",20,15,24
"254",20,16,24
"255",21,1,9
"256",21,2,12
"257",21,3,12
"258",21,4,12
"259",21,5,14
"260",21,6,15
"261",21,7,16
"262",21,8,19
"263",21,9,18
"264",21,10,19
"265",21,11,19
"266",22,1,15
"267",22,2,16
"268",22,3,19
"269",22,4,19
"270",22,5,20
"271",22,6,19
"272",22,7,21
"273",22,8,23
"274",22,9,25
"275",22,10,24
"276",22,11,26
"277",23,1,20
"278",23,2,21
"279",23,3,21
"280",23,4,22
"281",23,5,23
"282",23,6,24
"283",23,7,24
"284",23,8,27
"285",23,9,27
"286",23,10,29
"287",23,11,30
"288",23,12,30
"289",23,13,33
"290",23,14,32
"291",23,15,34
