"","pages","version","portal"
"1",8,0,1
"2",5,1,1
"3",2,1,1
"4",5,0,1
"5",4,1,0
"6",11,0,1
"7",5,0,0
"8",7,0,0
"9",8,0,1
"10",4,0,0
"11",6,1,0
"12",17,0,1
"13",9,0,1
"14",10,0,1
"15",14,0,1
"16",8,0,0
"17",8,0,0
"18",5,1,1
"19",4,0,0
"20",6,0,0
"21",11,0,1
"22",6,1,1
"23",3,1,0
"24",5,1,0
"25",8,1,0
"26",15,0,1
"27",7,0,0
"28",4,1,0
"29",2,1,1
"30",10,0,0
"31",6,1,0
"32",11,0,1
"33",5,1,0
"34",14,0,1
"35",10,0,1
"36",4,1,1
"37",5,1,1
"38",6,0,0
"39",12,0,1
"40",1,1,0
"41",4,1,1
"42",17,0,1
"43",15,0,1
"44",13,0,1
"45",5,1,0
"46",3,1,0
"47",1,1,1
"48",12,0,1
"49",3,1,1
"50",5,1,0
"51",10,0,0
"52",6,1,1
"53",10,0,0
"54",4,1,0
"55",14,0,1
"56",1,0,0
"57",13,0,1
"58",6,1,1
"59",5,1,0
"60",14,0,1
"61",4,0,0
"62",2,1,1
"63",9,0,0
"64",5,1,1
"65",5,1,0
"66",4,0,0
"67",13,0,1
"68",4,1,1
"69",7,0,0
"70",4,1,0
"71",7,0,0
"72",11,0,1
"73",5,0,0
"74",6,0,0
"75",8,1,0
"76",10,0,1
"77",6,1,0
"78",1,1,1
"79",9,0,1
"80",14,0,1
"81",9,0,0
"82",5,0,0
"83",2,1,0
"84",9,0,0
"85",9,0,0
"86",8,0,0
"87",8,0,1
"88",8,0,0
"89",3,1,0
"90",11,0,1
"91",12,0,1
"92",24,0,1
"93",4,1,0
"94",10,0,0
"95",8,0,0
"96",13,0,1
"97",2,0,0
"98",2,1,0
"99",3,1,1
"100",10,0,0
"101",2,1,0
"102",9,0,1
"103",10,1,0
"104",13,0,1
"105",7,1,0
"106",6,1,1
"107",11,0,1
"108",15,0,1
"109",3,1,1
"110",2,1,0
"111",10,0,0
"112",8,0,0
"113",4,1,0
"114",11,0,1
"115",3,1,1
"116",2,1,1
"117",1,1,1
"118",4,1,1
"119",9,0,1
"120",20,0,1
"121",2,1,1
"122",5,1,1
"123",12,0,1
"124",8,1,0
"125",2,1,1
"126",2,1,1
"127",2,1,1
"128",7,0,0
"129",2,1,0
"130",3,1,1
"131",9,0,0
"132",7,0,0
"133",6,0,0
"134",2,1,0
"135",5,1,1
"136",3,1,0
"137",1,1,1
"138",11,0,1
"139",8,0,0
"140",2,1,1
"141",4,1,0
"142",7,1,0
"143",6,0,0
"144",4,1,0
"145",2,1,1
"146",4,0,0
"147",7,1,0
"148",4,1,1
"149",7,0,0
"150",5,0,0
"151",2,1,0
"152",6,0,0
"153",6,1,0
"154",10,0,1
"155",3,1,1
"156",7,1,0
"157",14,0,1
"158",13,0,1
"159",4,1,1
"160",4,1,0
"161",13,0,1
"162",13,0,1
"163",6,1,1
"164",4,1,1
"165",8,1,0
"166",2,1,1
"167",8,1,0
"168",3,1,0
"169",9,0,0
"170",17,0,1
"171",2,1,0
"172",16,0,1
"173",6,0,0
"174",3,0,0
"175",7,0,1
"176",14,0,1
"177",17,0,1
"178",3,1,0
"179",5,1,0
"180",4,1,1
"181",8,1,0
"182",12,0,1
"183",11,0,0
"184",3,1,1
"185",10,0,0
"186",14,0,1
"187",5,1,1
"188",7,0,1
"189",2,1,0
"190",3,1,1
"191",16,0,1
"192",3,1,1
"193",5,1,0
"194",4,1,0
"195",5,0,0
"196",9,0,0
"197",7,1,0
"198",5,1,1
"199",5,1,0
"200",4,1,0
"201",5,0,0
"202",2,1,0
"203",19,0,1
"204",5,1,0
"205",0,1,1
"206",13,0,0
"207",2,1,1
"208",2,1,1
"209",5,0,0
"210",2,1,0
"211",8,0,0
"212",5,0,0
"213",4,1,0
"214",11,0,1
"215",2,1,0
"216",3,1,0
"217",13,0,1
"218",14,0,1
"219",11,0,1
"220",15,0,1
"221",2,1,0
"222",10,0,0
"223",13,0,1
"224",16,0,1
"225",15,0,0
"226",1,1,1
"227",7,0,1
"228",17,0,1
"229",2,1,1
"230",14,0,1
"231",8,0,0
"232",1,1,1
"233",4,1,1
"234",11,0,1
"235",4,1,1
"236",11,0,0
"237",2,1,1
"238",2,1,1
"239",1,1,0
"240",13,0,1
"241",4,1,0
"242",7,0,1
"243",7,0,0
"244",15,0,1
"245",7,0,0
"246",14,0,1
"247",15,0,1
"248",4,1,1
"249",1,1,0
"250",6,0,0
"251",9,0,0
"252",9,0,0
"253",6,1,0
"254",4,1,1
"255",1,1,0
"256",9,0,1
"257",5,1,0
"258",9,1,0
"259",3,1,0
"260",3,1,1
"261",3,1,1
"262",3,1,1
"263",14,0,1
"264",4,1,1
"265",10,1,0
"266",12,0,0
"267",8,0,0
"268",5,1,0
"269",15,0,1
"270",16,0,1
"271",5,1,1
"272",15,0,0
"273",4,1,0
"274",2,1,1
"275",2,1,1
"276",6,0,0
"277",3,1,0
"278",3,1,1
"279",10,0,1
"280",1,1,1
"281",10,0,1
"282",1,1,0
"283",18,0,1
"284",4,0,0
"285",6,1,1
"286",6,0,0
"287",8,0,0
"288",8,0,0
"289",2,1,1
"290",1,1,1
"291",5,1,0
"292",10,0,1
"293",5,1,1
"294",15,0,1
"295",11,0,0
"296",7,0,1
"297",1,1,1
"298",7,1,0
"299",3,1,0
"300",4,1,0
"301",9,1,0
"302",13,0,0
"303",6,0,0
"304",10,0,1
"305",2,1,1
"306",14,0,1
"307",9,0,1
